date,price,signal,returns,strategy_returns,equity_curve
2024-08-26,1213.3,1,0.0,,
2024-08-27,1226.35,1,0.010755789994230547,0.0,1.0
2024-08-28,1223.85,0,-0.002038569739470808,-0.001,0.999
2024-08-29,1221.9,0,-0.0015933325162396095,0.0,0.999
2024-08-30,1229.2,0,0.0059743023160652164,0.0,0.999
2024-09-02,1229.95,0,0.0006101529450048826,0.0,0.999
2024-09-03,1247.7,0,0.0144314809545103,0.0,0.999
2024-09-04,1236.35,0,-0.009096737997916327,0.0,0.999
2024-09-05,1235.95,0,-0.00032353298014309306,0.0,0.999
2024-09-06,1208.15,1,-0.0224928192888062,-0.001,0.998001
2024-09-09,1235.0,1,0.02222406158175705,0.004742452269401731,1.0027339721073152
2024-09-10,1237.3,0,0.001862348178137685,-0.008826680506970885,0.9938831597020381
2024-09-11,1236.35,0,-0.0007678008567041372,0.0,0.9938831597020381
2024-09-12,1252.15,0,0.012779552715655118,0.0,0.9938831597020381
2024-09-13,1250.35,0,-0.001437527452781362,0.0,0.9938831597020381
2024-09-16,1262.85,0,0.009997200783780524,0.0,0.9938831597020381
2024-09-17,1268.1,0,0.004157263332937422,0.0,0.9938831597020381
2024-09-18,1288.35,0,0.015968772178850177,0.0,0.9938831597020381
2024-09-19,1292.0,0,0.0028330810726899802,0.0,0.9938831597020381
2024-09-20,1338.45,0,0.035952012383901,0.0,0.9938831597020381
2024-09-23,1321.9,0,-0.012365049123986616,0.0,0.9938831597020381
2024-09-24,1318.6,0,-0.002496406687344077,0.0,0.9938831597020381
2024-09-25,1323.85,0,0.003981495525557488,0.0,0.9938831597020381
2024-09-26,1329.05,0,0.003927937455149744,0.0,0.9938831597020381
2024-09-27,1306.6,0,-0.01689176479440202,-0.0,0.9938831597020381
2024-09-30,1273.0,1,-0.02571559773457821,-0.001,0.992889276542336
2024-10-01,1274.4,0,0.0010997643362138376,-0.03459816521205916,0.9585371293152424
2024-10-03,1256.35,1,-0.014163527934714537,-0.001,0.9575785921859271
2024-10-04,1239.75,0,-0.013212878576829623,-0.06988400470431055,0.8906591653448587
2024-10-07,1233.9,0,-0.004718693284936459,-0.0,0.8906591653448587
2024-10-08,1236.6,0,0.00218818380743957,-0.0,0.8906591653448587
2024-10-09,1244.15,0,0.006105450428594672,-0.0,0.8906591653448587
2024-10-10,1243.5,0,-0.0005224450428004124,-0.0,0.8906591653448587
2024-10-11,1223.0,0,-0.016485725774024962,-0.0,0.8906591653448587
2024-10-14,1231.75,0,0.007154538021259205,-0.0,0.8906591653448587
2024-10-15,1255.5,1,0.01928151004668166,-0.001,0.8897685061795139
2024-10-16,1243.15,1,-0.009836718438868908,-0.00040884118775341705,0.8894047321666219
2024-10-17,1231.25,0,-0.009572457064714657,-0.010458853209667662,0.8801025786289074
2024-10-18,1264.5,1,0.02700507614213188,-0.001,0.8792224760502785
2024-10-21,1259.05,0,-0.004310003954132058,0.021567406731097916,0.8981850247983777
2024-10-22,1267.5,0,0.006711409395973256,0.0,0.8981850247983777
2024-10-23,1251.6,0,-0.01254437869822489,0.0,0.8981850247983777
2024-10-24,1252.75,0,0.0009188239054012115,0.0,0.8981850247983777
2024-10-25,1255.45,0,0.0021552584314508128,-0.0,0.8981850247983777
2024-10-28,1292.85,1,0.029790115098171865,-0.001,0.8972868397735794
2024-10-29,1331.85,0,0.030165912518853588,0.04948573125565259,0.9416897351858486
2024-10-30,1312.15,0,-0.014791455494237216,0.0,0.9416897351858486
2024-10-31,1292.25,0,-0.015165949014975477,0.0,0.9416897351858486
2024-11-01,1291.8,0,-0.00034822983168891763,0.0,0.9416897351858486
2024-11-04,1277.2,0,-0.011302059142281995,-0.0,0.9416897351858486
2024-11-05,1296.7,1,0.0152677732539932,-0.001,0.9407480454506628
2024-11-06,1302.35,0,0.004357214467494375,-0.008191250267458816,0.9330421427717537
2024-11-07,1278.7,0,-0.018159480938303774,-0.0,0.9330421427717537
2024-11-08,1258.85,0,-0.015523578634550783,-0.0,0.9330421427717537
2024-11-11,1269.3,0,0.008301227310640646,-0.0,0.9330421427717537
2024-11-12,1270.6,0,0.0010241865595208566,-0.0,0.9330421427717537
2024-11-13,1253.7,0,-0.013300802770344622,-0.0,0.9330421427717537
2024-11-14,1256.95,0,0.002592326712929749,-0.0,0.9330421427717537
2024-11-18,1253.45,0,-0.0027845180794781044,-0.0,0.9330421427717537
2024-11-19,1249.1,0,-0.0034704216362839713,-0.0,0.9330421427717537
2024-11-21,1250.55,1,0.0011608358017773934,-0.001,0.9321091006289819
2024-11-22,1278.05,0,0.02199032425732672,0.018488547056271787,0.94934244359754
2024-11-25,1300.95,0,0.01791792183404417,0.0,0.94934244359754
2024-11-26,1304.95,0,0.003074676198162818,0.0,0.94934244359754
2024-11-27,1300.7,0,-0.003256829763592428,0.0,0.94934244359754
2024-11-28,1286.35,0,-0.01103252095025764,0.0,0.94934244359754
2024-11-29,1300.1,0,0.010689159249037905,0.0,0.94934244359754
2024-12-02,1304.65,0,0.0034997307899393704,0.0,0.94934244359754
2024-12-03,1308.4,0,0.0028743341125971877,0.0,0.94934244359754
2024-12-04,1316.05,0,0.005846835830021213,0.0,0.94934244359754
2024-12-05,1336.5,0,0.015538923293187956,0.0,0.94934244359754
2024-12-06,1328.75,0,-0.005798728020950272,0.0,0.94934244359754
2024-12-09,1322.3,0,-0.004854186265286997,0.0,0.94934244359754
2024-12-10,1330.45,0,0.006163502987219349,0.0,0.94934244359754
2024-12-11,1327.5,0,-0.0022172949002217113,0.0,0.94934244359754
2024-12-12,1329.25,0,0.0013182674199623268,-0.0,0.94934244359754
2024-12-13,1344.9,0,0.011773556516832873,0.0,0.94934244359754
2024-12-16,1346.1,0,0.0008922596475573474,0.0,0.94934244359754
2024-12-17,1333.75,0,-0.009174652700393637,0.0,0.94934244359754
2024-12-18,1314.15,0,-0.01469540768509836,-0.0,0.94934244359754
2024-12-19,1286.9,1,-0.020735836852718514,-0.001,0.9483931011539425
2024-12-20,1288.4,0,0.0011655917320692044,-0.04354804585858396,0.9070924348929259
2024-12-23,1296.8,1,0.006519714374417784,-0.001,0.906185342458033
2024-12-24,1297.25,0,0.0003470080197409686,-0.02839893041158892,0.8804506479775654
2024-12-26,1297.35,1,7.7086143765559e-05,-0.001,0.8795701973295879
2024-12-27,1307.55,0,0.007862180598913193,0.014971580868906709,0.8927387536687881
2024-12-30,1294.65,1,-0.009865779511299633,-0.001,0.8918460149151193
2024-12-31,1281.65,0,-0.010041323909937061,-0.012620828658816974,0.8805901791708268
2025-01-02,1290.6,0,0.006983185737135633,-0.0,0.8805901791708268
2025-01-03,1265.05,0,-0.019796993646366,-0.0,0.8805901791708268
2025-01-06,1264.1,0,-0.0007509584601399499,-0.0,0.8805901791708268
2025-01-07,1279.25,0,0.011984811328217715,-0.0,0.8805901791708268
2025-01-08,1263.75,0,-0.012116474496775442,-0.0,0.8805901791708268
2025-01-09,1262.4,1,-0.001068249258160181,-0.001,0.879709588991656
2025-01-10,1249.85,0,-0.009941381495564117,-0.012892252382421976,0.8683681509471388
2025-01-13,1229.75,1,-0.016081929831579744,-0.001,0.8674997827961917
2025-01-14,1240.3,1,0.008578979467371406,-0.03062905561470808,0.84092908370318
2025-01-15,1238.25,1,-0.0016528259292106773,-0.020165407047143313,0.8239714064325241
2025-01-16,1249.1,0,0.00876236624268123,-0.011334791546301903,0.8146318623004982
2025-01-17,1225.45,1,-0.01893363221519484,-0.001,0.8138172304381978
2025-01-20,1232.95,1,0.0061202007425844585,0.002875088308231577,0.816157026842468
2025-01-21,1196.15,1,-0.02984711464374057,-0.0355510058028804,0.7871418236451299
2025-01-22,1200.45,1,0.0035948668645235937,-0.030303313009146127,0.7632888185806214
2025-01-23,1201.75,1,0.0010829272356198683,-0.03798275201620749,0.7342970086677296
2025-01-24,1209.2,1,0.006199292698148673,-0.012849827102863975,0.7248614190641991
2025-01-27,1227.95,1,0.015506119748594172,-0.0034639080968542624,0.7223505657256053
2025-01-28,1246.9,1,0.015432224439105857,0.041815430985992164,0.7525559659543968
2025-01-29,1251.65,0,0.003809447429625523,0.04103001155109409,0.7834333459303504
2025-01-30,1255.6,0,0.0031558342987254573,0.0,0.7834333459303504
2025-01-31,1252.8,0,-0.0022300095571837764,0.0,0.7834333459303504
2025-02-01,1255.55,0,0.002195083014048471,0.0,0.7834333459303504
2025-02-03,1253.0,0,-0.0020309824379753927,0.0,0.7834333459303504
2025-02-04,1268.2,0,0.012130885873902653,0.0,0.7834333459303504
