DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,
01-Jul-20,EQ,354.25,365.75,351.6,351.45,362.4,364.05,359.56,552.2,268.3,36922717,"13,27,60,46,897.25",306855,
02-Jul-20,EQ,366,370.9,361.35,364.05,363.6,362.85,366.8,552.2,268.3,50964872,"18,69,41,05,759.85",305451,
03-Jul-20,EQ,364.65,367.15,359.8,362.85,360.8,361,363.13,552.2,268.3,28779331,"10,45,06,40,286.00",208640,
06-Jul-20,EQ,367.85,367.85,360.5,361,362.4,361.85,362.93,552.2,268.3,33334119,"12,09,80,52,508.65",259942,
07-Jul-20,EQ,363,378,362.1,361.85,374.6,376.05,370.97,552.2,268.3,46031349,"17,07,64,08,916.80",338605,
08-Jul-20,EQ,377.9,379,367.55,376.05,368.6,368.95,374.6,552.2,268.3,46317703,"17,35,07,91,189.45",334871,
09-Jul-20,EQ,373.45,376,365.3,368.95,371.75,370.35,370.37,552.2,268.3,35144717,"13,01,67,22,138.10",252469,
10-Jul-20,EQ,364.9,368.2,359,370.35,359.9,360.35,363.19,552.2,268.3,27865749,"10,12,05,60,057.65",280327,
13-Jul-20,EQ,364.1,367,352.5,360.35,354.15,353.6,357.86,552.2,268.3,32379950,"11,58,76,42,125.05",230035,
14-Jul-20,EQ,351.5,352.45,340.6,353.6,346.05,345.55,346.56,552.2,268.3,34033233,"11,79,46,06,533.70",297220,
15-Jul-20,EQ,349.5,356.8,343.75,345.55,347.9,345.8,351.27,552.2,268.3,30442572,"10,69,36,60,344.80",222113,
16-Jul-20,EQ,347.95,348.6,341,345.8,344.85,344.65,344.69,552.2,268.3,35536953,"12,24,93,19,563.85",220076,
17-Jul-20,EQ,346,356,345.45,344.65,354.6,353.8,349.78,552.2,268.3,27511987,"9,62,32,02,594.30",200767,
20-Jul-20,EQ,358,366.35,355.25,353.8,362.1,363,362.86,552.2,268.3,36313319,"13,17,65,47,255.65",267593,
21-Jul-20,EQ,371,379.9,370.05,363,378.9,378.8,375.06,552.2,268.3,45560259,"17,08,79,57,100.55",360866,
22-Jul-20,EQ,386.9,389.5,375.3,378.8,381.8,381.1,382.03,552.2,268.3,45500596,"17,38,27,28,483.75",319065,
23-Jul-20,EQ,382.55,395.65,378.85,381.1,394.8,392.25,385.46,552.2,268.3,37838253,"14,58,51,60,124.60",269191,
24-Jul-20,EQ,388.3,388.7,372.15,392.25,382.5,381.8,380.82,552.2,268.3,52981627,"20,17,67,21,421.60",386704,
27-Jul-20,EQ,385,385.8,356.6,381.8,358.7,358.5,364.96,552.2,268.3,73276759,"26,74,29,57,273.15",730212,
28-Jul-20,EQ,361.1,362.75,343.2,358.5,352.15,352.1,350.53,552.2,268.3,125940299,"44,14,53,52,671.95",703448,
29-Jul-20,EQ,353.2,357.65,348.2,352.1,351.2,351.05,353.98,552.2,268.3,50196627,"17,76,88,04,674.00",350109,
30-Jul-20,EQ,353.4,354.6,340.4,351.05,345.4,344.95,348.04,552.2,268.3,40820799,"14,20,74,48,526.95",321975,
31-Jul-20,EQ,346.45,353,342.05,344.95,347.2,346.8,347.26,552.2,268.3,37345608,"12,96,87,52,584.85",274656,
03-Aug-20,EQ,346.8,349.35,340.5,346.8,343.75,343.25,344.3,552.2,268.3,32120023,"11,05,88,35,193.15",252316,
04-Aug-20,EQ,347,353.2,344.2,343.25,351.4,351,349.14,552.2,268.3,30813885,"10,75,83,70,764.00",236605,
05-Aug-20,EQ,353.4,360,350.75,351,353.05,352.2,355.51,552.2,268.3,37058091,"13,17,46,83,738.25",270873,
06-Aug-20,EQ,353.45,363.75,348.6,352.2,359.5,358.75,356.51,552.2,268.3,48022799,"17,12,06,69,232.45",321846,
07-Aug-20,EQ,359.45,359.65,353.15,358.75,358.1,357.95,356.9,552.2,268.3,28512323,"10,17,59,88,903.95",203850,
10-Aug-20,EQ,359.5,364.95,357.35,357.95,364.2,363.55,361.27,552.2,268.3,22857226,"8,25,77,31,419.05",208697,
11-Aug-20,EQ,370,374.3,364.05,363.55,366.45,367.35,368.66,552.2,268.3,45446756,"16,75,46,04,407.70",361557,
12-Aug-20,EQ,365.75,368.75,363.75,367.35,365.7,366.85,366.65,552.2,268.3,25706440,"9,42,52,81,045.20",183488,
13-Aug-20,EQ,368.95,372.35,366.25,366.85,368.3,368.05,369.11,552.2,268.3,26257725,"9,69,19,12,310.95",173312,
14-Aug-20,EQ,371.8,371.8,354.2,368.05,360.9,361.4,364.56,552.2,268.3,28893922,"10,53,36,25,265.35",190060,
17-Aug-20,EQ,366,366.35,354.35,361.4,361.15,360.2,360.04,552.2,268.3,24232602,"8,72,45,93,924.20",221104,
18-Aug-20,EQ,361.9,370,361.6,360.2,369.5,369.55,366.2,552.2,268.3,26517539,"9,71,06,88,061.45",187582,
19-Aug-20,EQ,374,375.85,370.4,369.55,375,374.45,373.9,552.2,268.3,35790626,"13,38,20,56,477.70",247511,
20-Aug-20,EQ,367,369.65,362.6,374.45,366.85,367.75,366.62,552.2,268.3,68447536,"25,09,40,86,521.90",329965,
21-Aug-20,EQ,370,373,367.05,367.75,371.3,371.15,369.72,552.2,268.3,34111143,"12,61,14,04,103.85",197504,
24-Aug-20,EQ,374.85,381.2,373.85,371.15,379.8,380.35,378.04,552.2,268.3,32907517,"12,44,04,57,313.35",248376,
25-Aug-20,EQ,382.5,389.8,381.4,380.35,385.55,386.35,386.44,552.2,268.3,53073080,"20,50,93,25,983.85",338551,
26-Aug-20,EQ,388.2,391.65,384.2,386.35,389.75,389.35,387.83,552.2,268.3,37164029,"14,41,34,42,894.25",215457,
27-Aug-20,EQ,389.95,397.45,387.6,389.35,392.9,392.2,393.77,552.2,268.3,36910773,"14,53,43,38,598.20",240458,
28-Aug-20,EQ,393.9,411.9,392.9,392.2,409.5,409.7,406.65,552.2,268.3,83472448,"33,94,39,33,082.95",521089,
31-Aug-20,EQ,414.85,422,387.5,409.7,392.4,394.6,401.8,552.2,268.3,72744912,"29,22,92,01,656.90",469274,
01-Sep-20,EQ,394.7,399.65,385.3,394.6,393.45,390.95,391.8,552.2,268.3,34872816,"13,66,30,87,428.20",249813,
02-Sep-20,EQ,387.25,394,381.1,390.95,392.55,392.4,387.78,552.2,268.3,31297334,"12,13,64,48,935.75",234846,
03-Sep-20,EQ,392.4,392.55,381.05,392.4,384.45,382.75,384.76,552.2,268.3,26135711,"10,05,59,46,251.80",231860,
04-Sep-20,EQ,375,379.95,368.35,382.75,375,372.55,374.12,552.2,268.3,33119184,"12,39,05,72,354.95",291371,
07-Sep-20,EQ,374.1,376.85,369,372.55,374,373.4,374.02,552.2,268.3,22324954,"8,35,00,16,685.65",246828,
08-Sep-20,EQ,372.4,381.3,369.15,373.4,371.95,375.7,377.09,552.2,268.3,32052949,"12,08,69,70,795.00",212852,
09-Sep-20,EQ,370.8,372.4,361.9,375.7,368,367.6,366.51,552.2,268.3,25285243,"9,26,72,28,378.15",214029,
10-Sep-20,EQ,371.7,375,365.45,367.6,371.5,370.7,370.91,552.2,268.3,24852406,"9,21,79,26,227.15",192383,
11-Sep-20,EQ,373,373.65,365.1,370.7,370.35,370.5,369.18,552.2,268.3,22678883,"8,37,26,55,013.30",209303,
14-Sep-20,EQ,373.5,373.85,359.35,370.5,364.5,363.7,366.59,552.2,268.3,27140811,"9,94,96,11,150.30",231347,
15-Sep-20,EQ,364.05,372.25,363.7,363.7,371.7,371.55,369.26,552.2,268.3,24968263,"9,21,98,55,799.90",243030,
16-Sep-20,EQ,371.35,376.7,365,371.55,374.25,374.7,371.33,552.2,268.3,22069463,"8,19,51,33,281.05",224943,
17-Sep-20,EQ,370,371.75,367.4,374.7,368.7,369,369.26,552.2,268.3,24086056,"8,89,39,20,852.40",182837,
