date,return,sma_20,sma_50,rsi,volatility,nifty_return,nifty_volatility,banknifty_return,target
2019-03-12,-0.0011663688703592578,1996.6375,1962.8570000000002,53.66844271919071,0.015917718375922638,0.011922403642534052,0.0064947111815411,0.017057817078556026,1
2019-03-13,-0.00593803572759577,1994.0824999999998,1964.8110000000001,51.31870031170405,0.013237897743048743,0.0035836902275865334,0.005875536028153967,0.015490249158864655,1
2019-03-14,-0.006548362909272631,1990.1825000000001,1966.0929999999998,48.79650865467585,0.012673535176914785,0.00013666381582999598,0.0055518118253810485,0.0013432902995744733,1
2019-03-15,0.026441581966388128,1989.9500000000003,1968.8929999999998,57.76400611270705,0.00979943913286497,0.00737002181914348,0.005141407792413852,0.01584719480277008,0
2019-03-18,-0.008407068800705964,1989.605,1971.8120000000001,54.414633365323205,0.010329201923147761,0.0030935909721401256,0.005196040950231195,0.007305629912750966,0
2019-03-19,0.0,1992.2300000000002,1974.31,54.414633365323205,0.01019355023878848,0.0061244787213623475,0.00476689663562451,0.005803129466382506,0
2019-03-20,-0.003831322918726565,1997.7424999999998,1976.74,52.80980824963503,0.010227113429912046,-0.0009841836911658186,0.005084253462994432,0.0021617281731802773,0
2019-03-22,-0.004664896652688433,2002.2875,1979.114,50.85086791086835,0.010119883737323006,-0.005568068882610522,0.005870021572598401,-0.008370150374427676,0
2019-03-25,-0.010669857652132797,2005.7900000000002,1981.0279999999998,46.61177564474429,0.010434699630684824,-0.008959666227338903,0.006916524891195969,-0.010185075635933405,1
2019-03-26,-0.0008063500062995832,2008.64,1983.83,46.3009937539649,0.010413491397070299,0.011361384503600025,0.006822188183146446,0.020523407510621094,1
2019-03-27,-0.007439537992081302,2007.7775000000001,1986.9230000000002,43.42643644764915,0.010574905701489556,-0.003326584372891017,0.006237777675498729,0.00460642892161367,1
2019-03-28,0.016464251232277904,2005.8574999999996,1989.573,50.67112242522588,0.011972388516209905,0.010917383497669464,0.00693090302698284,0.013349522648385292,1
2019-03-29,0.0006748987651852278,2003.0349999999999,1992.203,50.952955729319235,0.011745551443786197,0.0046585998271391205,0.006942132634097254,0.00020545322158871393,1
2019-04-01,0.014987635200959248,2005.4450000000002,1994.95,56.85250503148324,0.009260158901051693,0.0038928414731715932,0.006753887474357278,-0.003296436036651862,1
2019-04-02,0.02345384293554509,2009.64,1998.523,64.21511723992927,0.011417212841401353,0.0037749107689935,0.006768210518956122,0.0009150413005127866,1
2019-04-03,0.0,2014.2,2001.935,64.21511723992927,0.011417212841401353,-0.0059121333196735515,0.007054809750328386,-0.008596819226302732,0
2019-04-04,-0.03116433415091624,2014.9450000000002,2004.1870000000001,50.59785222092495,0.015666627499977097,-0.003946255351491623,0.007207233478597409,-0.006260529752469712,1
2019-04-05,0.016778356912385384,2016.6950000000002,2007.641,55.85619347578654,0.016395039305256844,0.005858768753233434,0.007008017263930384,0.006010720651130841,0
2019-04-08,0.010960308548552344,2019.0975000000003,2011.025,58.97932362235315,0.015924448819767737,-0.005267466430080803,0.006451446328793026,-0.007955884479294295,1
2019-04-09,0.010020523964747063,2022.9325000000001,2014.4389999999999,61.67802380595738,0.01589986588193638,0.005812400361928649,0.005779681766549195,0.00899806669726888,1
2019-04-10,-0.024503944537413336,2024.3225000000002,2016.144,52.49239913416784,0.018190461712731733,-0.007509456431873174,0.006306880717803278,-0.010305889150673098,1
2019-04-11,-0.010170322264428378,2025.2725000000003,2016.879,49.291588545659785,0.018074331049091275,0.0010704142675863615,0.005316998930515187,-0.0005838240475112277,1
2019-04-12,-0.0024758603614756236,2026.6275,2017.5410000000002,48.52377682746604,0.01811006355472344,0.0040313192546155285,0.005262541851830034,0.005118159141344503,1
2019-04-15,0.04904442789774155,2030.2949999999996,2019.525,61.33901007322305,0.023482366966999676,0.004028015751345038,0.005273299435551753,0.005534670182757662,1
2019-04-16,0.0087540812946576,2035.7450000000001,2021.5620000000001,63.18708475811232,0.022585755920226044,0.00828033377957027,0.00578124077818435,0.014187365571306287,1
2019-04-18,0.008560840604184161,2042.1075,2023.558,64.96622158950468,0.022633214345876257,-0.0029141904531629903,0.005472965999992595,-0.010086353862505115,1
2019-04-22,0.005302202274365619,2049.4275000000002,2025.896,66.06935471126869,0.019070478000181613,-0.013473385065686405,0.007027385999936111,-0.017716405169504457,1
2019-04-23,-0.0029609752712298487,2056.8975,2027.501,64.8350828670992,0.018993428405806537,-0.0015955909939668889,0.006724724429528105,-0.007014630515074338,1
2019-04-24,0.013178348530196393,2066.8575,2029.5120000000002,67.71715963713021,0.019080234516982104,0.012975176983314407,0.007759066744468768,0.012927539968181412,0
2019-04-25,0.0052897936751472585,2077.475,2032.1840000000002,68.83582429716412,0.019013539135182195,-0.007193324322134709,0.007963237993411398,-0.010028197503081038,0
2019-04-26,0.01984054669703883,2091.0075,2035.6369999999997,72.67997287170857,0.01635231155106984,0.009693518184473282,0.008073360116854575,0.015295309584981709,0
2019-04-30,0.009738446762413089,2104.01,2039.8120000000001,74.3833833233011,0.014842200549671234,-0.0005529726533755053,0.008099020389434839,-0.008286271177969984,0
2019-05-02,-0.01988630079412468,2114.6975,2042.812,65.33736097746103,0.017446889695373065,-0.0019918029647221225,0.008099596790340717,-0.0018881363220986103,0
2019-05-03,-0.037645571905750685,2119.715,2044.56,52.56433157255146,0.017253812338206363,-0.0010661208128105448,0.008028700451840084,0.008265283453276151,1
2019-05-06,0.012124765478424004,2123.6425,2047.1230000000003,55.470113958174665,0.017453523317669042,-0.00973339879186319,0.008039166581779413,-0.01120712822764125,0
