date,return,sma_20,sma_50,rsi,volatility,nifty_return,nifty_volatility,banknifty_return,target
2019-03-12,0.019991073316263153,2111.4175,2111.14,64.38870674411834,0.00929987512746053,0.011922403642534052,0.0064947111815411,0.017057817078556026,1
2019-03-13,0.025587286964532607,2116.26,2112.709,72.21935032365141,0.011246600701357629,0.0035836902275865334,0.005875536028153967,0.015490249158864655,1
2019-03-14,-0.0008084255911613436,2120.325,2114.634,71.6694086166733,0.01038745794196156,0.00013666381582999598,0.0055518118253810485,0.0013432902995744733,1
2019-03-15,0.01269805596134388,2127.465,2117.458,74.89990379121168,0.009423364797602729,0.00737002181914348,0.005141407792413852,0.01584719480277008,1
2019-03-18,0.0037505548158009994,2135.505,2120.3379999999997,75.78919821418924,0.009367161725005613,0.0030935909721401256,0.005196040950231195,0.007305629912750966,1
2019-03-19,0.0027858232549913264,2144.3975,2123.28,76.45887601261072,0.009443696597140018,0.0061244787213623475,0.00476689663562451,0.005803129466382506,1
2019-03-20,0.013780178591114467,2155.145,2127.2,79.489470062013,0.009088566846376815,-0.0009841836911658186,0.005084253462994432,0.0021617281731802773,1
2019-03-22,-0.009939103958242712,2163.5350000000003,2130.3869999999997,72.17308266623006,0.010824765101827652,-0.005568068882610522,0.005870021572598401,-0.008370150374427676,1
2019-03-25,0.002262592535641428,2171.805,2133.843,72.78116492584665,0.010743080356877427,-0.008959666227338903,0.006916524891195969,-0.010185075635933405,1
2019-03-26,0.013172314031473231,2182.8,2137.8320000000003,76.06746933982157,0.010603042222885401,0.011361384503600025,0.006822188183146446,0.020523407510621094,0
2019-03-27,-0.005148506284206267,2191.5025,2141.788,72.3425307112312,0.010510372627915276,-0.003326584372891017,0.006237777675498729,0.00460642892161367,0
2019-03-28,0.0014568701211161716,2201.11,2145.406,72.74712064780633,0.007916151662753496,0.010917383497669464,0.00693090302698284,0.013349522648385292,0
2019-03-29,0.0069914886225463935,2212.4425,2149.38,74.6652792407,0.00783919668132882,0.0046585998271391205,0.006942132634097254,0.00020545322158871393,0
2019-04-01,-0.003061796541463546,2224.1549999999997,2152.97,72.25021645046189,0.007514123365993456,0.0038928414731715932,0.006753887474357278,-0.003296436036651862,0
2019-04-02,-0.007331949130547688,2234.73,2156.262,66.70328271386838,0.008119303765413793,0.0037749107689935,0.006768210518956122,0.0009150413005127866,0
2019-04-03,-0.000915092489705116,2244.0125,2159.1540000000005,66.02693621459069,0.00813834370068118,-0.0059121333196735515,0.007054809750328386,-0.008596819226302732,0
2019-04-04,-0.0038381855849962676,2252.9975000000004,2162.116,63.13785390208598,0.006908872079043807,-0.003946255351491623,0.007207233478597409,-0.006260529752469712,0
2019-04-05,0.009479191751132987,2261.9525000000003,2166.12,66.96735368398089,0.006729878978677952,0.005858768753233434,0.007008017263930384,0.006010720651130841,0
2019-04-08,-0.007026370575988872,2270.0125,2169.8630000000003,61.79424875981756,0.007207397088819931,-0.005267466430080803,0.006451446328793026,-0.007955884479294295,0
2019-04-09,-0.000939110684022082,2277.9525000000003,2173.688,61.11944778679433,0.005633633986370935,0.005812400361928649,0.005779681766549195,0.00899806669726888,1
2019-04-10,-0.021816591977265265,2281.27,2176.752,48.014226721237634,0.00864655837440041,-0.007509456431873174,0.006306880717803278,-0.010305889150673098,1
2019-04-11,0.009006190359130306,2282.8175,2180.75,52.44818139097522,0.009350728910389914,0.0010704142675863615,0.005316998930515187,-0.0005838240475112277,1
2019-04-12,0.003433001107419731,2284.8424999999997,2185.361,54.07076573305451,0.009035235836889961,0.0040313192546155285,0.005262541851830034,0.005118159141344503,0
2019-04-15,0.010396203509546398,2286.6324999999997,2189.538,58.68425610547413,0.00987280040130131,0.004028015751345038,0.005273299435551753,0.005534670182757662,0
2019-04-16,0.007099790283117802,2288.8125,2193.83,61.5539727728726,0.009891883196972026,0.00828033377957027,0.00578124077818435,0.014187365571306287,0
2019-04-18,-0.004945662783887639,2290.1075,2197.605,58.48492566185392,0.010036460566185117,-0.0029141904531629903,0.005472965999992595,-0.010086353862505115,0
2019-04-22,-0.010877858435245247,2288.5924999999997,2200.6980000000003,52.33474388491769,0.010574654562955447,-0.013473385065686405,0.007027385999936111,-0.017716405169504457,1
2019-04-23,-0.010314276898664265,2287.05,2203.151,47.309863837788534,0.010323930291729936,-0.0015955909939668889,0.006724724429528105,-0.007014630515074338,1
2019-04-24,0.01534316127020885,2286.9725000000003,2206.401,54.271072663399714,0.011602241169677108,0.012975176983314407,0.007759066744468768,0.012927539968181412,1
2019-04-25,-0.007149906788025073,2284.5775,2209.217,50.84802835693725,0.011801126328657378,-0.007193324322134709,0.007963237993411398,-0.010028197503081038,1
2019-04-26,0.0077315602288541285,2283.6525,2212.043,54.188829539356135,0.009474943489357523,0.009693518184473282,0.008073360116854575,0.015295309584981709,1
2019-04-30,0.016002104386330318,2284.3849999999998,2215.798,60.25641892340413,0.010276389444416414,-0.0005529726533755053,0.008099020389434839,-0.008286271177969984,0
2019-05-02,0.016548361345444462,2286.2300000000005,2220.045,65.43632510139788,0.01118141104387975,-0.0019918029647221225,0.008099596790340717,-0.0018881363220986103,0
2019-05-03,0.005157483657356243,2289.0375,2225.2,66.90787549691039,0.010968262459927377,-0.0010661208128105448,0.008028700451840084,0.008265283453276151,0
2019-05-06,-0.016681095462319773,2290.7174999999997,2229.756,58.22836339586551,0.012554603816094533,-0.00973339879186319,0.008039166581779413,-0.01120712822764125,0
2019-05-07,-0.002619768515536025,2292.1975,2234.405,56.99866063993178,0.012451661813267734,-0.008652167352833473,0.008343574132314319,-0.011150144588930155,0
