date,price,signal,returns,strategy_returns,equity_curve
2024-08-26,1639.95,1,0.0,,
2024-08-27,1637.75,1,-0.0013415043141559169,0.0,1.0
2024-08-28,1637.1,1,-0.00039688597160747463,0.0,1.0
2024-08-29,1638.55,1,0.0008857125404679866,0.0,1.0
2024-08-30,1636.9,1,-0.0010069878856304726,-0.0018596656309258774,0.9981403343690741
2024-09-02,1626.95,1,-0.006078563137638215,-0.007938228768564093,0.9902168680517214
2024-09-03,1637.35,1,0.006392329204953917,-0.0002043952494542589,0.9900144724279621
2024-09-04,1641.8,1,0.0027178062112560575,0.002910296933409273,0.9928957085111002
2024-09-05,1645.45,1,0.0022231696918018073,0.004247754084743094,0.997113285312652
2024-09-06,1636.95,1,-0.005165760126409236,8.898184396433084e-05,0.9972020102914203
2024-09-09,1646.5,1,0.005834020587067279,0.012001565568669825,1.0091699956031421
2024-09-10,1650.35,1,0.0023382933495292857,0.007947529713245194,1.0171904041289137
2024-09-11,1643.9,1,-0.003908261883842745,0.0013214616181463912,1.0185345822063168
2024-09-12,1666.6,1,0.013808625828821697,0.01290691775516628,1.0316807242896462
2024-09-13,1665.95,1,-0.0003900156006239053,0.01768266228095161,1.0499235861190275
2024-09-16,1670.95,1,0.003001290554938585,0.014849932248822917,1.0655148802393362
2024-09-17,1668.8,1,-0.0012866931984799601,0.011224945700813671,1.0774752269134316
2024-09-18,1694.8,0,0.015580057526366264,0.02971326511102268,1.1094905339812695
2024-09-19,1708.5,0,0.008083549681378255,0.0,1.1094905339812695
2024-09-20,1741.2,1,0.019139596136962256,-0.001,1.1083810434472883
2024-09-23,1759.8,1,0.010682288077188185,0.052198798223415,1.1662372018888516
2024-09-24,1768.05,0,0.004688032730992164,0.05717352415288712,1.2329150927190393
2024-09-25,1779.1,0,0.006249823251604836,0.0,1.2329150927190393
2024-09-26,1783.45,1,0.002445056489236208,-0.001,1.2316821776263203
2024-09-27,1752.65,0,-0.017269898230956815,0.005795302318064578,1.2388201482054368
2024-09-30,1732.05,0,-0.011753630217099853,-0.0,1.2388201482054368
