DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jan-19,EQ,"1,125.25","1,127.30","1,110.10","1,121.25","1,120.50","1,121.00","1,119.01","1,329.00",871,4455850,"4,98,61,29,073.40",76742﻿
02-Jan-19,EQ,"1,114.50","1,127.00","1,101.00","1,121.00","1,104.35","1,106.40","1,113.42","1,329.00",871,7144970,"7,95,53,42,409.70",147850
03-Jan-19,EQ,"1,107.50","1,114.60","1,090.10","1,106.40","1,090.30","1,092.75","1,101.37","1,329.00",871,7446457,"8,20,12,91,658.05",231404
04-Jan-19,EQ,"1,097.40","1,104.45","1,081.10","1,092.75","1,099.60","1,098.65","1,093.06","1,329.00",871,8465141,"9,25,29,46,937.20",189220
07-Jan-19,EQ,"1,107.00","1,118.45","1,101.00","1,098.65","1,104.90","1,104.75","1,110.32","1,329.00",871,5513559,"6,12,18,31,037.30",112082
08-Jan-19,EQ,"1,105.10","1,109.95","1,096.00","1,104.75","1,101.00","1,104.65","1,103.82","1,329.00",871,5625153,"6,20,91,50,562.95",103758
09-Jan-19,EQ,"1,112.00","1,117.00","1,098.70","1,104.65","1,109.25","1,110.75","1,110.55","1,329.00",871,5766805,"6,40,43,22,207.10",186143
10-Jan-19,EQ,"1,107.75","1,111.00","1,103.00","1,110.75","1,107.60","1,107.50","1,106.30","1,329.00",871,4080283,"4,51,40,20,687.20",92025
11-Jan-19,EQ,"1,107.60","1,113.80","1,088.60","1,107.50","1,095.50","1,098.05","1,099.31","1,329.00",871,6463903,"7,10,58,42,454.20",162386
14-Jan-19,EQ,"1,095.00","1,100.50","1,086.40","1,098.05","1,099.00","1,096.80","1,093.55","1,329.00",871,4111782,"4,49,64,26,168.75",97120
15-Jan-19,EQ,"1,105.00","1,132.00","1,105.00","1,096.80","1,130.95","1,129.65","1,124.77","1,329.00",871,10062875,"11,31,84,69,360.00",187957
16-Jan-19,EQ,"1,135.00","1,145.00","1,130.35","1,129.65","1,136.50","1,135.90","1,139.05","1,329.00",871,6382777,"7,27,03,22,619.05",129953
17-Jan-19,EQ,"1,144.45","1,147.90","1,130.00","1,135.90","1,133.00","1,134.45","1,139.30","1,329.00",871,7487963,"8,53,10,72,686.50",135936
18-Jan-19,EQ,"1,148.80","1,189.90","1,135.25","1,134.45","1,185.80","1,184.35","1,162.97","1,329.00",871,25684142,"29,87,00,01,778.85",438550
21-Jan-19,EQ,"1,194.00","1,239.95","1,188.65","1,184.35","1,235.00","1,237.70","1,222.77","1,329.00",871,22038534,"26,94,80,45,198.35",403702
22-Jan-19,EQ,"1,232.85","1,246.95","1,219.60","1,237.70","1,232.00","1,235.15","1,234.02","1,329.00",871,16552819,"20,42,65,29,561.50",283673
23-Jan-19,EQ,"1,233.30","1,244.20","1,222.00","1,235.15","1,224.45","1,226.30","1,233.79","1,329.00",871,8829502,"10,89,37,62,273.85",142555
24-Jan-19,EQ,"1,225.00","1,253.20","1,220.10","1,226.30","1,249.00","1,247.45","1,240.42","1,329.00",871,13155185,"16,31,80,07,440.15",225787
25-Jan-19,EQ,"1,250.45","1,264.70","1,235.40","1,247.45","1,247.10","1,246.00","1,253.45","1,329.00",871,8550836,"10,71,80,47,747.00",183744
28-Jan-19,EQ,"1,250.50","1,255.95","1,222.40","1,246.00","1,230.50","1,229.55","1,237.32","1,329.00",871,8569265,"10,60,29,58,029.00",188470
29-Jan-19,EQ,"1,231.00","1,231.65","1,201.35","1,229.55","1,214.90","1,210.65","1,212.83","1,329.00",871,9328866,"11,31,43,52,059.55",169968
30-Jan-19,EQ,"1,215.00","1,225.00","1,191.10","1,210.65","1,195.75","1,195.70","1,208.06","1,329.00",871,7846940,"9,47,96,01,531.25",153142
31-Jan-19,EQ,"1,202.00","1,229.70","1,201.00","1,195.70","1,225.20","1,227.15","1,220.45","1,329.00",871,10185347,"12,43,07,23,963.00",221969
01-Feb-19,EQ,"1,234.00","1,255.00","1,227.05","1,227.15","1,253.10","1,249.95","1,240.68","1,329.00",871,9228965,"11,45,01,98,242.40",214121
04-Feb-19,EQ,"1,247.00","1,296.95","1,242.05","1,249.95","1,289.50","1,290.90","1,269.56","1,329.00",871,11670570,"14,81,64,88,322.25",238268
05-Feb-19,EQ,"1,292.00","1,304.40","1,278.60","1,290.90","1,288.00","1,291.55","1,292.06","1,329.00",871,9362406,"12,09,67,49,451.05",188250
06-Feb-19,EQ,"1,296.25","1,317.65","1,294.25","1,291.55","1,310.55","1,310.25","1,309.33","1,329.00",871,9411585,"12,32,28,66,454.80",171848
07-Feb-19,EQ,"1,310.25","1,321.20","1,286.10","1,310.25","1,288.00","1,290.40","1,302.19","1,329.00",871,9212227,"11,99,60,39,370.55",227737
08-Feb-19,EQ,"1,284.80","1,300.50","1,272.25","1,290.40","1,277.80","1,277.70","1,282.97","1,329.00",871,6505502,"8,34,63,64,102.55",174433
11-Feb-19,EQ,"1,275.90","1,276.00","1,251.00","1,277.70","1,254.50","1,253.25","1,259.38","1,329.00",880,7523999,"9,47,56,09,078.10",154193
12-Feb-19,EQ,"1,251.50","1,272.35","1,251.50","1,253.25","1,255.50","1,256.40","1,261.80","1,329.00",880,6399485,"8,07,48,47,915.90",173602
13-Feb-19,EQ,"1,261.00","1,273.95","1,235.75","1,256.40","1,238.30","1,245.95","1,258.94","1,329.00",880,6964042,"8,76,73,11,288.70",150257
14-Feb-19,EQ,"1,241.00","1,241.00","1,218.00","1,245.95","1,229.10","1,224.20","1,227.02","1,329.00",880,6627360,"8,13,19,00,743.50",138445
15-Feb-19,EQ,"1,229.75","1,249.90","1,214.00","1,224.20","1,248.10","1,244.45","1,228.62","1,329.00",880,9597961,"11,79,22,53,866.15",175538
18-Feb-19,EQ,"1,250.00","1,252.50","1,215.00","1,244.45","1,215.65","1,220.10","1,226.57","1,329.00",880,9649017,"11,83,51,63,807.70",212673
19-Feb-19,EQ,"1,218.00","1,239.70","1,211.20","1,220.10","1,215.60","1,216.10","1,228.49","1,329.00",880,6244189,"7,67,09,26,659.10",149603
20-Feb-19,EQ,"1,223.85","1,240.00","1,219.00","1,216.10","1,235.55","1,234.35","1,228.29","1,329.00",880,6298179,"7,73,60,05,977.15",157634
21-Feb-19,EQ,"1,236.00","1,257.80","1,229.35","1,234.35","1,247.30","1,246.90","1,246.51","1,329.00",880,10580178,"13,18,83,32,136.90",206387
22-Feb-19,EQ,"1,244.60","1,245.30","1,226.00","1,246.90","1,231.70","1,232.35","1,233.91","1,329.00",880,8755865,"10,80,39,86,767.65",169765
25-Feb-19,EQ,"1,236.00","1,243.00","1,220.65","1,232.35","1,231.30","1,232.30","1,232.29","1,329.00",880,7852528,"9,67,65,93,047.40",159793
26-Feb-19,EQ,"1,209.50","1,234.80","1,206.00","1,232.30","1,220.20","1,220.25","1,221.22","1,329.00",880,10131050,"12,37,22,87,569.65",166251
27-Feb-19,EQ,"1,228.05","1,244.90","1,209.00","1,220.25","1,220.65","1,223.50","1,227.12","1,329.00",880,11113182,"13,63,72,50,489.45",222847
28-Feb-19,EQ,"1,233.75","1,239.85","1,226.55","1,223.50","1,232.00","1,231.05","1,233.07","1,329.00",880,11286916,"13,91,75,67,837.35",179607
01-Mar-19,EQ,"1,237.00","1,242.35","1,222.25","1,231.05","1,225.00","1,226.05","1,229.08","1,329.00",880,7922513,"9,73,74,13,570.10",156673
05-Mar-19,EQ,"1,223.40","1,239.80","1,218.60","1,226.05","1,237.45","1,237.65","1,229.02","1,329.00",880,7121509,"8,75,25,05,365.70",177673
06-Mar-19,EQ,"1,239.80","1,273.10","1,235.10","1,237.65","1,262.00","1,264.80","1,257.64","1,329.00",880,12038231,"15,13,97,19,373.35",228963
07-Mar-19,EQ,"1,264.00","1,279.80","1,258.15","1,264.80","1,270.00","1,270.25","1,271.70","1,329.00",880,8109259,"10,31,25,71,022.50",180667
08-Mar-19,EQ,"1,266.05","1,274.45","1,262.00","1,270.25","1,266.90","1,267.10","1,267.28","1,329.00",880,6040052,"7,65,44,51,409.25",137676
11-Mar-19,EQ,"1,270.05","1,312.00","1,268.00","1,267.10","1,309.55","1,304.10","1,291.98","1,329.00",880,9718840,"12,55,65,41,045.70",176513
12-Mar-19,EQ,"1,316.90","1,334.00","1,314.25","1,304.10","1,330.85","1,331.35","1,324.88","1,334.00",880,11228736,"14,87,67,74,951.30",193657
13-Mar-19,EQ,"1,337.00","1,360.00","1,328.10","1,331.35","1,349.00","1,347.30","1,339.10","1,360.00",880,11236048,"15,04,61,85,762.10",219134
14-Mar-19,EQ,"1,349.75","1,362.00","1,336.10","1,347.30","1,339.50","1,341.55","1,352.38","1,362.00",880,10402048,"14,06,75,56,296.05",280534
15-Mar-19,EQ,"1,345.00","1,358.80","1,311.20","1,341.55","1,323.75","1,321.65","1,334.04","1,362.00",880,15893093,"21,20,20,54,547.95",212588
18-Mar-19,EQ,"1,331.00","1,357.95","1,329.00","1,321.65","1,356.50","1,350.05","1,341.23","1,362.00",880,10105234,"13,55,34,61,916.40",205654
19-Mar-19,EQ,"1,360.00","1,380.00","1,343.10","1,350.05","1,378.00","1,376.55","1,362.21","1,380.00",880,9805318,"13,35,69,00,675.35",196165
20-Mar-19,EQ,"1,377.80","1,388.00","1,364.00","1,376.55","1,373.05","1,375.45","1,376.17","1,388.00",880,9892823,"13,61,42,22,090.05",175117
22-Mar-19,EQ,"1,372.50","1,380.90","1,336.70","1,375.45","1,345.10","1,341.75","1,359.14","1,388.00",880,11465112,"15,58,26,94,374.75",216597
25-Mar-19,EQ,"1,330.60","1,336.85","1,316.70","1,341.75","1,328.00","1,324.45","1,325.16","1,388.00",880,7951992,"10,53,76,31,803.10",162927
26-Mar-19,EQ,"1,330.30","1,371.60","1,330.00","1,324.45","1,369.00","1,367.25","1,353.06","1,388.00",880,9479288,"12,82,60,63,635.90",186909
27-Mar-19,EQ,"1,377.95","1,377.95","1,344.25","1,367.25","1,347.00","1,349.25","1,360.73","1,388.00",880,10094174,"13,73,53,99,190.80",171701
28-Mar-19,EQ,"1,350.25","1,369.80","1,342.80","1,349.25","1,362.00","1,360.00","1,357.34","1,388.00",880,10482938,"14,22,88,79,896.70",178529
29-Mar-19,EQ,"1,370.05","1,376.85","1,355.10","1,360.00","1,363.05","1,363.25","1,363.56","1,388.00",880,7699271,"10,49,84,45,885.85",136542
01-Apr-19,EQ,"1,370.00","1,406.80","1,362.55","1,363.25","1,391.60","1,391.85","1,386.73","1,406.80",885.25,10098281,"14,00,36,14,629.20",239548
02-Apr-19,EQ,"1,398.00","1,403.10","1,380.10","1,391.85","1,388.20","1,389.70","1,390.35","1,406.80",885.25,8012636,"11,14,03,73,758.15",168893
03-Apr-19,EQ,"1,392.75","1,403.00","1,372.00","1,389.70","1,374.60","1,375.20","1,390.20","1,406.80",885.25,7849461,"10,91,22,95,747.30",169662
04-Apr-19,EQ,"1,379.00","1,383.70","1,347.25","1,375.20","1,354.50","1,353.05","1,360.64","1,406.80",885.25,8375674,"11,39,62,56,161.40",177047
05-Apr-19,EQ,"1,360.95","1,363.90","1,343.00","1,353.05","1,355.85","1,353.90","1,352.52","1,406.80",885.25,6728239,"9,10,00,90,311.80",131955
08-Apr-19,EQ,"1,356.00","1,357.50","1,323.70","1,353.90","1,328.00","1,329.25","1,335.09","1,406.80",906.6,8723577,"11,64,67,34,561.25",216174
