DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Aug-20,EQ,963.9,969.2,958.7,957.5,967.1,967.55,964.28,986.45,509.25,6142171,"5,92,27,44,205.10",119041
19-Aug-20,EQ,970.9,971.55,957.45,967.55,960,959.3,963.05,986.45,509.25,6622744,"6,37,80,66,100.85",125391
20-Aug-20,EQ,958.9,965.5,951.3,959.3,951.8,955.15,957.55,986.45,509.25,5656667,"5,41,65,30,383.70",123695
21-Aug-20,EQ,963.05,963.45,946.55,955.15,949.8,948.8,951.89,986.45,509.25,6513784,"6,20,04,35,488.95",123340
24-Aug-20,EQ,947,952,939.2,948.8,948.55,947.4,946.24,986.45,509.25,5798579,"5,48,68,19,045.35",153799
25-Aug-20,EQ,947.5,948.65,933.6,947.4,938.6,938.1,940.65,986.45,509.25,6233923,"5,86,39,27,589.80",105761
26-Aug-20,EQ,941.25,954.25,938.4,938.1,953.5,950.8,945.03,986.45,509.25,5153663,"4,87,03,49,606.40",114894
27-Aug-20,EQ,960,960.95,945.2,950.8,950.8,947.05,952.03,986.45,509.25,6154300,"5,85,91,08,364.45",124639
28-Aug-20,EQ,951.45,952.5,933.05,947.05,935.05,935.25,940.5,986.45,509.25,7593988,"7,14,21,34,781.30",180829
31-Aug-20,EQ,935.25,950.5,914.6,935.25,919.7,928.6,933.36,986.45,509.25,12808369,"11,95,48,11,845.40",206060
01-Sep-20,EQ,926.25,935,912.1,928.6,917.95,914.15,921.79,986.45,509.25,6907783,"6,36,75,07,047.55",117189
02-Sep-20,EQ,915,926.4,913.5,914.15,923.6,924,920.9,986.45,509.25,5678696,"5,22,94,93,200.00",105709
03-Sep-20,EQ,926.5,949.4,924,924,935.2,935.55,937.36,986.45,509.25,8828016,"8,27,50,49,706.35",130511
04-Sep-20,EQ,915,929.5,914.45,935.55,920.5,919.15,921.81,986.45,509.25,8650414,"7,97,40,78,250.95",146258
07-Sep-20,EQ,918.9,927.55,913.05,919.15,925.55,925.05,921.27,986.45,509.25,6700450,"6,17,29,52,176.90",101639
08-Sep-20,EQ,929.95,952,925.55,925.05,938.8,939.3,942.77,986.45,509.25,12892115,"12,15,42,47,390.25",200293
09-Sep-20,EQ,935,946,926,939.3,928.2,927.75,933.78,986.45,509.25,5529150,"5,16,30,32,076.50",133068
10-Sep-20,EQ,935.3,942,924.8,927.75,939.65,940.05,934.08,986.45,509.25,5172091,"4,83,11,22,431.90",101735
11-Sep-20,EQ,934.9,954.15,931,940.05,944.5,945.7,945.41,986.45,509.25,6672082,"6,30,78,65,395.75",124065
14-Sep-20,EQ,957,991.05,948.3,945.7,975,978.4,976.06,991.05,509.25,21871591,"21,34,79,11,659.75",342353
15-Sep-20,EQ,979.5,994,971.65,978.4,981.4,982.45,982.27,994,509.25,11608223,"11,40,23,71,128.65",252665
16-Sep-20,EQ,986,"1,005.65",982,982.45,"1,001.80","1,001.75",991.46,"1,005.65",509.25,10059392,"9,97,34,73,916.20",239939
17-Sep-20,EQ,995,"1,021.00",995,"1,001.75","1,011.00","1,011.00","1,010.52","1,021.00",509.25,15628308,"15,79,27,64,185.70",340784
18-Sep-20,EQ,"1,011.00","1,018.80",999.1,"1,011.00","1,003.40","1,002.15","1,007.23","1,021.00",509.25,12897897,"12,99,11,32,019.30",228827
21-Sep-20,EQ,"1,001.00","1,031.00","1,000.50","1,002.15","1,007.00","1,009.90","1,019.34","1,031.00",509.25,14140790,"14,41,42,21,200.50",284118
